ipc_subclass,bi_count,bi_psb_count,bi_average_precision,bi_precision@100,bi_precision@200,bi_precision@500,rf_count,rf_psb_count,rf_average_precision,rf_precision@100,rf_precision@200,rf_precision@500,xgb_count,xgb_psb_count,xgb_average_precision,xgb_precision@100,xgb_precision@200,xgb_precision@500,beauty_count,beauty_psb_count,beauty_average_precision,beauty_precision@100,beauty_precision@200,beauty_precision@500,bi_precision@55,bi_precision@186,bi_precision@202,bi_precision@99,bi_precision@64,bi_precision@153,bi_precision@110,bi_precision@460,bi_precision@57,bi_precision@86,bi_precision@103,bi_precision@206,bi_precision@63,bi_precision@204,bi_precision@139,bi_precision@330,bi_precision@322,bi_precision@183,bi_precision@261,bi_precision@214,bi_precision@361,bi_precision@182,bi_precision@50,bi_precision@398,bi_precision@397,bi_precision@405,bi_precision@56,bi_precision@113,bi_precision@89,bi_precision@140,bi_precision@452,bi_precision@219,bi_precision@98,bi_precision@120,bi_precision@491,bi_precision@159,bi_precision@161,bi_precision@403,bi_precision@482,bi_precision@174,bi_precision@278,bi_precision@88,bi_precision@158,bi_precision@51,bi_precision@114,bi_precision@175,bi_precision@129,bi_precision@344,bi_precision@338,bi_precision@62,bi_precision@327,bi_precision@329,bi_precision@127,bi_precision@69,bi_precision@228,bi_precision@451,bi_precision@376,bi_precision@181,bi_precision@91,bi_precision@237,bi_precision@126,bi_precision@77,bi_precision@78,bi_precision@454,bi_precision@166,bi_precision@291,bi_precision@383,bi_precision@247,bi_precision@75,bi_precision@230,bi_precision@457,bi_precision@124,bi_precision@471,bi_precision@351,bi_precision@95,bi_precision@130,bi_precision@465,bi_precision@218,bi_precision@167,bi_precision@281,bi_precision@79,bi_precision@133,bi_precision@104,bi_precision@87,bi_precision@197,bi_precision@66,bi_precision@233,bi_precision@101,bi_precision@122,bi_precision@368,bi_precision@472,bi_precision@94,bi_precision@225,bi_precision@106,bi_precision@102,bi_precision@374,bi_precision@257,bi_precision@402,bi_precision@459,bi_precision@171,bi_precision@380,bi_precision@58,bi_precision@370,bi_precision@52,bi_precision@72,bi_precision@142,bi_precision@270,bi_precision@128,bi_precision@152,bi_precision@149,bi_precision@60,bi_precision@377,bi_precision@81,bi_precision@267,bi_precision@185,bi_precision@431,bi_precision@409,bi_precision@408,bi_precision@244,bi_precision@196,bi_precision@80,bi_precision@131,bi_precision@54,bi_precision@163,bi_precision@424,bi_precision@59,bi_precision@168,bi_precision@495,bi_precision@115,bi_precision@193,bi_precision@234,bi_precision@435,bi_precision@177,bi_precision@388,bi_precision@498
G01N,3093,7.0,0.0022631749110895573,0.01,0.01,0.004,3093,7.0,0,0,0,0,3093,7.0,0,0,0,0,3093,7.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B32B,2622,7.0,0.002669717772692601,0.01,0.005,0.004,2622,7.0,0,0,0,0,2622,7.0,0,0,0,0,2622,7.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A61B,2092,6.0,0.0028680688336520078,0.01,0.005,0.004,2092,6.0,0,0,0,0,2092,6.0,0,0,0,0,2092,6.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A61K,4422,6.0,0.0013568521031207597,0.0,0.005,0.002,4422,6.0,0,0,0,0,4422,6.0,0,0,0,0,4422,6.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C07C,2280,5.0,0.0021929824561403508,0.0,0.0,0.0,2280,5.0,0,0,0,0,2280,5.0,0,0,0,0,2280,5.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G06F,3774,5.0,0.0013248542660307366,0.0,0.0,0.0,3774,5.0,0,0,0,0,3774,5.0,0,0,0,0,3774,5.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H01L,2944,5.0,0.0016983695652173913,0.0,0.0,0.0,2944,5.0,0,0,0,0,2944,5.0,0,0,0,0,2944,5.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C07D,2121,5.0,0.0023573785950023575,0.0,0.005,0.002,2121,5.0,0,0,0,0,2121,5.0,0,0,0,0,2121,5.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B29C,1618,4.0,0.002472187886279357,0.01,0.005,0.006,1618,4.0,0,0,0,0,1618,4.0,0,0,0,0,1618,4.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B65H,1380,4.0,0.002898550724637681,0.0,0.0,0.0,1380,4.0,0,0,0,0,1380,4.0,0,0,0,0,1380,4.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B65D,3374,4.0,0.0011855364552459987,0.01,0.005,0.002,3374,4.0,0,0,0,0,3374,4.0,0,0,0,0,3374,4.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C08G,1503,3.0,0.001996007984031936,0.0,0.0,0.002,1503,3.0,0,0,0,0,1503,3.0,0,0,0,0,1503,3.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C08F,1218,3.0,0.0024630541871921183,0.0,0.0,0.0,1218,3.0,0,0,0,0,1218,3.0,0,0,0,0,1218,3.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A47C,786,3.0,0.003816793893129771,0.01,0.005,0.004,786,3.0,0,0,0,0,786,3.0,0,0,0,0,786,3.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G11B,2623,3.0,0.001143728555089592,0.0,0.005,0.002,2623,3.0,0,0,0,0,2623,3.0,0,0,0,0,2623,3.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01J,977,3.0,0.0030706243602865915,0.0,0.0,0.002,977,3.0,0,0,0,0,977,3.0,0,0,0,0,977,3.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01D,2514,3.0,0.0011933174224343676,0.0,0.0,0.0,2514,3.0,0,0,0,0,2514,3.0,0,0,0,0,2514,3.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H04N,2492,3.0,0.001203852327447833,0.0,0.0,0.0,2492,3.0,0,0,0,0,2492,3.0,0,0,0,0,2492,3.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B23K,1003,3.0,0.0029910269192422734,0.01,0.005,0.002,1003,3.0,0,0,0,0,1003,3.0,0,0,0,0,1003,3.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H01R,1849,3.0,0.0016224986479177934,0.01,0.005,0.004,1849,3.0,0,0,0,0,1849,3.0,0,0,0,0,1849,3.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H03K,1152,3.0,0.0026041666666666665,0.0,0.0,0.0,1152,3.0,0,0,0,0,1152,3.0,0,0,0,0,1152,3.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G08B,741,2.0,0.002699055330634278,0.0,0.005,0.002,741,2.0,0,0,0,0,741,2.0,0,0,0,0,741,2.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B05B,612,2.0,0.0032679738562091504,0.0,0.0,0.002,612,2.0,0,0,0,0,612,2.0,0,0,0,0,612,2.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G01B,983,2.0,0.002034587995930824,0.0,0.0,0.002,983,2.0,0,0,0,0,983,2.0,0,0,0,0,983,2.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C07F,454,2.0,0.004405286343612335,0.0,0.0,,454,2.0,0,0,0,0,454,2.0,0,0,0,0,454,2.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004405286343612335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F42B,377,2.0,0.005305039787798408,0.0,0.0,,377,2.0,0,0,0,0,377,2.0,0,0,0,0,377,2.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005305039787798408,,,,,,,,,,,,,,,,,,,,,,,
G03C,1241,2.0,0.0016116035455278,0.0,0.0,0.0,1241,2.0,0,0,0,0,1241,2.0,0,0,0,0,1241,2.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H01F,505,2.0,0.0039603960396039604,0.01,0.005,0.004,505,2.0,0,0,0,0,505,2.0,0,0,0,0,505,2.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G03B,1310,2.0,0.0015267175572519084,0.0,0.0,0.0,1310,2.0,0,0,0,0,1310,2.0,0,0,0,0,1310,2.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G02B,2436,2.0,0.0008210180623973727,0.0,0.0,0.0,2436,2.0,0,0,0,0,2436,2.0,0,0,0,0,2436,2.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H04B,838,2.0,0.002386634844868735,0.01,0.005,0.004,838,2.0,0,0,0,0,838,2.0,0,0,0,0,838,2.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A61N,361,2.0,0.00554016620498615,0.01,0.01,,361,2.0,0,0,0,0,361,2.0,0,0,0,0,361,2.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0.00554016620498615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H01Q,545,2.0,0.003669724770642202,0.0,0.0,0.004,545,2.0,0,0,0,0,545,2.0,0,0,0,0,545,2.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G11C,933,2.0,0.0021436227224008574,0.02,0.01,0.004,933,2.0,0,0,0,0,933,2.0,0,0,0,0,933,2.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H01J,1572,2.0,0.001272264631043257,0.0,0.005,0.002,1572,2.0,0,0,0,0,1572,2.0,0,0,0,0,1572,2.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B41F,344,2.0,0.005813953488372093,0.0,0.005,,344,2.0,0,0,0,0,344,2.0,0,0,0,0,344,2.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005813953488372093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F25B,472,2.0,0.00423728813559322,0.0,0.0,,472,2.0,0,0,0,0,472,2.0,0,0,0,0,472,2.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00423728813559322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C08L,1156,2.0,0.0017301038062283738,0.0,0.0,0.002,1156,2.0,0,0,0,0,1156,2.0,0,0,0,0,1156,2.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C11D,457,2.0,0.00437636761487965,0.0,0.0,,457,2.0,0,0,0,0,457,2.0,0,0,0,0,457,2.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00437636761487965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F21V,370,2.0,0.005405405405405406,0.0,0.005,,370,2.0,0,0,0,0,370,2.0,0,0,0,0,370,2.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005405405405405406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D05B,281,2.0,0.0071174377224199285,0.0,0.01,,281,2.0,0,0,0,0,281,2.0,0,0,0,0,281,2.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0071174377224199285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C12P,351,2.0,0.005698005698005698,0.0,0.0,,351,2.0,0,0,0,0,351,2.0,0,0,0,0,351,2.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005698005698005698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C08K,866,2.0,0.0023094688221709007,0.0,0.0,0.002,866,2.0,0,0,0,0,866,2.0,0,0,0,0,866,2.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A01N,860,2.0,0.002325581395348837,0.0,0.0,0.0,860,2.0,0,0,0,0,860,2.0,0,0,0,0,860,2.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A01K,1027,2.0,0.0019474196689386564,0.01,0.005,0.004,1027,2.0,0,0,0,0,1027,2.0,0,0,0,0,1027,2.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
